시도,시군구,평균_지진옥외대피소_밀도,평균_자전거편의시설_밀도,평균_택시승차대_밀도,평균_작은도서관_밀도,평균_에코스쿨위치_밀도,평균_한파쉼터_밀도,평균_보행등_밀도,평균_CCTV_밀도,평균_불법주정차CCTV_밀도,평균_나눔카_밀도,평균_무더위쉼터_밀도,평균_공중화장실_밀도,평균_공영주차장_밀도,평균_공공아파트_밀도,평균_따릉이대여소_밀도,평균_공공와이파이_밀도,범죄발생정도,Grid개수,범죄발생정도평균
서울특별시,강남구,7.314044117961303,21.05652780824435,1.1014847019529883,2.147736859229457,2.500791484673232,3.636314992832359,80.95049544042965,431.6508154624362,20.85127848585637,8.978470571755816,3.519281917167844,11.3433698200664,63.98872436751577,13.547925302817758,12.34143833030888,53.96325278737535,6763,78,86.7051282051282
서울특별시,강동구,4.564346264414361,31.357954977960983,0.3969053288489598,6.118677565683995,2.290161830086896,8.676128522606808,122.34745812644908,328.75807282236514,12.011866089005151,11.07736226959126,17.59607853263582,17.87067237368168,5.262953307972698,11.872798776392006,14.783958734863576,110.72379944946236,3398,50,67.96
서울특별시,강북구,4.269436073006418,6.599681472179952,0.5469167930487356,3.670433163669504,1.6757524238521877,7.522160563095756,65.13076501407907,251.05180915388584,14.807204518606191,3.758311814636953,7.000790240091016,6.558144936886294,17.19163108831524,4.4609217070034255,6.275574511209129,62.26199934931383,2497,45,55.48888888888889
서울특별시,강서구,7.235353765298257,2.5152349456473027,0.3048711923838873,3.6185396706783375,1.296629101391083,5.151446168698572,100.1354389598512,192.1108581801477,10.24078782668339,6.857154633896645,5.6394379573834605,13.450118567219636,11.065790853726082,9.48050880321805,17.829030104969835,91.27252276880596,4296,83,51.75903614457831
서울특별시,관악구,5.130106538618668,1.2905160814858598,0.2421546072861965,5.738907177793529,1.7822412803662595,8.726890749500665,54.98173350650091,429.59910799934926,17.21060303949758,5.873074887682808,9.195600264604064,7.915294846226458,6.560950619381356,5.681061480089404,8.28332627374725,60.238556944069714,4769,57,83.66666666666667
서울특별시,광진구,4.460481764308652,45.36430939107376,1.040632649508772,4.031913425965521,2.819773264603433,10.086736944294168,90.35068102695476,557.2110202126426,11.986789379231311,5.4812996273659405,9.188645648203316,28.818360879602714,0.0790352954892441,10.961809462628633,23.096558399502413,108.8518547335764,3424,36,95.11111111111111
서울특별시,구로구,5.883482973244449,4.220939203068876,0.6984119077346325,8.457746205571887,2.381123932210208,2.27719017498156,119.62541197204663,451.2301875521116,18.87258412349742,6.817264906165146,14.531633895449184,11.84368999172574,8.09307400914474,16.373979541813746,13.861694621823748,123.02196886631216,3737,39,95.82051282051282
서울특별시,금천구,6.500940041181881,2.0310356280635213,1.1883148826160592,3.4704648514481367,1.3121787182996802,9.288485282115536,125.16443094795416,447.4761107052279,15.14655050516464,9.527460124759571,15.811215078523931,16.539410448653168,111.49100663344927,7.28497706410784,12.566395861493756,121.8103125928874,2240,27,82.96296296296296
서울특별시,노원구,4.830505510908161,14.49784948400283,0.6035175927555715,3.19407524859526,3.0949491539464247,6.1356958788187255,79.46003695696031,180.5300213808463,10.636689867750148,4.055157924206499,7.258834422394023,9.382991302039436,14.28180674634174,14.867050328170729,10.651270297611331,83.0936468370742,3567,69,51.69565217391305
서울특별시,도봉구,6.032769888214034,2.844147371243944,0.3229976977710286,4.387686926456875,2.671971828160701,6.076294290867359,80.50105309562068,171.856181024158,12.251858144783936,2.586164964078494,6.231141657041865,12.720197247861991,0.6618159283002968,10.319498793704495,9.73616258640177,99.67249493906624,1921,42,45.73809523809524
