평균_지진옥외대피소_밀도,평균_자전거편의시설_밀도,평균_택시승차대_밀도,평균_작은도서관_밀도,평균_에코스쿨위치_밀도,평균_한파쉼터_밀도,평균_보행등_밀도,평균_CCTV_밀도,평균_불법주정차CCTV_밀도,평균_나눔카_밀도,평균_무더위쉼터_밀도,평균_공중화장실_밀도,평균_공영주차장_밀도,평균_공공아파트_밀도,평균_따릉이대여소_밀도,평균_공공와이파이_밀도,안심벨,cctv,안내표지판,노면표기,보안등,서비스안내판,위치신고안내판,기타시설물,범죄발생정도,Grid개수,범죄발생정도평균
0.5471045502655278,0.8474040990874316,0.04558567412488127,-1.4731703936102742,-0.13913033229107075,-0.6301987526682519,-0.6599397204975072,0.5088957525627642,0.8797868165861822,0.5224811105412875,-1.3936050653677863,-0.5543698017213536,0.9489915580560175,0.6040528363797202,-0.28495877344491366,-0.9867527296062192,0.4924861148179351,0.17334157352495602,-0.49422785538729197,-0.6772625929117825,0.11401559271237861,-0.22294963854423683,-0.11430989542494069,-0.19859086472225507,6763.0,78.0,86.7051282051282
-0.8084052616596898,1.8804224606060664,-0.6682965392504778,0.7919871610108226,-0.260421318482301,0.49357350266687994,0.6203992049568252,-0.23097802242708565,-0.8509158036702049,1.274387579191647,1.7088714420642004,-0.16237862496864586,-0.7092760440230244,0.1905843816207286,0.26079934224704104,0.06637105703621039,-0.013394968611731707,-0.833541261685059,-0.6728081669211634,0.10794744581255471,0.03026610189516967,-0.22294963854423683,-0.2297865190835203,-0.6095973445972337,3398.0,50.0,67.96
-0.9537862014507851,-0.6023161647911829,-0.5163044143280201,-0.6045734307320308,-0.6142286821877264,0.23626295560339536,-1.1492175645913996,-0.7897426657398795,-0.30360571931015684,-1.3475873360142732,-0.6262928652022096,-0.8417420994778254,-0.37244028108811217,-1.6388758474418752,-1.6403187539726638,-0.832779452080827,1.6890204504476791,1.635692900361635,2.3451990980012636,3.0480381086088597,1.4905876831561578,-0.14149256900997179,3.245619394939536,0.5777547083749266,2497.0,45.0,55.48888888888889
0.5083128172025577,-1.011900991149306,-0.7615458388380136,-0.6341752169016283,-0.8325466667075863,-0.29235641612689467,-0.06658145513728708,-1.2135710406037843,-1.1976820423821009,-0.23745861258608775,-0.9263301244461295,-0.4278509352009885,-0.5454185530333511,-0.3999002312963646,0.941191780319505,-0.2945240251572998,-1.0425990749023115,-1.1487212041409627,-0.5049857054796939,-0.8090647224672187,-1.319502904034197,-0.22294963854423683,-0.9392170838509568,-0.6095973445972337,4296.0,83.0,51.75903614457831
-0.529504217353242,-1.134714757973405,-0.8250904958262522,0.5753534143136732,-0.5529071249248866,0.5048924099767098,-1.4631101608519264,0.49414248127327104,0.1669649397880404,-0.5899951096378759,-0.14256444847949762,-0.76023970463366,-0.6726238749623186,-1.3377109511732428,-1.1917055851095872,-0.8703219962101086,-0.09808614663271181,0.24600838108260245,-0.5506216379769356,-0.0954769229320743,0.29641012806746175,-0.1586414257540276,0.19789124080832302,0.3277858551176297,4769.0,57.0,83.66666666666667
-0.859607014180385,3.284967777318825,-0.016069832047446837,-0.39837298415892786,0.04455517363045807,0.8081094667594403,-0.3692076780477488,1.4117650929398837,-0.855825669322412,-0.7303445868373072,-0.14409722149532794,0.49507478168878005,-0.8556568090064135,-0.03427346518765184,2.1181712278677725,0.03163937061825891,-0.15331952360291615,0.007234555366141909,-0.3826151606786224,-1.436426020319212,-0.18680872775173363,-0.22294963854423683,-0.7749970457103464,-0.6095973445972337,3424.0,36.0,95.11111111111111
-0.15811463071513696,-0.8408544178728515,-0.36280904969497974,2.126270242046803,-0.20804083533413367,-0.9332549575882974,0.5362108630536225,0.6496857010880304,0.4923706214959897,-0.25174869927562354,1.03347861265083,-0.5243235320363004,-0.6293605761789597,1.3016026995270644,0.054728136633226315,0.2945488232255887,-0.6107651841510192,-0.805013524254481,0.1754483128647258,-0.8678475537672041,-0.6412848549759776,-0.22294963854423683,-1.7085767145918982,-0.6095973445972337,3737.0,39.0,95.82051282051282
0.1462712176980352,-1.0604560872013609,0.13356230802271082,-0.7186420524006445,-0.8235924272229153,0.6301161609690877,0.7075234701517187,0.6226911537852923,-0.2371638607631558,0.7191509990118056,1.315493808883702,-0.24232634062478126,2.2903361549033465,-0.9418193647012744,-0.23469413774269732,0.272067995999334,-0.192187455544912,-0.7785989525595014,0.8748878663723889,-0.4316197544759057,-0.5919188126434053,-0.22294963854423683,-0.8372356903024499,-0.6095973445972337,2240.0,27.0,82.96296296296296
-0.6771975838082555,0.18970541087526877,-0.458956291865222,-0.8763039373800104,0.2030150783386029,-0.07288946362554385,-0.7060371124156802,-1.2968456936102986,-1.120166855956002,-1.2412452554728053,-0.5694208342037024,-0.672098538186388,-0.45460637864591524,0.9296500836696749,-0.6626108573364964,-0.44627324707691957,-0.5031309110808775,-0.6913160200021774,-0.44570059681830526,-0.16351182886673263,-1.1227647439435553,-0.22294963854423683,0.0611656142444344,-0.4547253376878214,3567.0,69.0,51.69565217391305
-0.08452113469800704,-0.9789179326492371,-0.7431800020274288,-0.19542786562264078,-0.04055621309154412,-0.08613476646625874,-0.6738402216809123,-1.359216924502758,-0.8039268341403956,-1.7674969483358474,-0.7959207083199049,-0.47168569152822776,-0.8392005543660133,-0.19281384740101223,-0.867083032550918,-0.13867262801872487,-0.5531039664348718,-0.4484168063722563,0.6537884330447384,-0.3451002325637617,-0.731730496821012,-0.22294963854423683,-0.45491258780810023,-0.6095973445972337,1921.0,42.0,45.73809523809524
