Point Number,Latitude,Longitude
172,35.1201247145,129.10199055219
173,35.120124714,129.10199055308
174,35.1201247135,129.10199055397
175,35.120124713,129.10199055486
176,35.1201247125,129.10199055575
177,35.120124712,129.10199055664
178,35.1201247115,129.10199055753
179,35.120124711,129.10199055842
180,35.1201247105,129.10199055931
181,35.12012471,129.1019905602
182,35.1201247095,129.10199056109
183,35.120124709,129.10199056198
184,35.1201247085,129.10199056287
185,35.120124708,129.10199056376
186,35.1201247075,129.10199056465
187,35.120124707,129.10199056554
188,35.1201247065,129.10199056643
189,35.120124706,129.10199056732
190,35.1201247055,129.10199056821
191,35.120124705,129.1019905691
192,35.1201247045,129.10199056999
193,35.120124704,129.10199057088
194,35.1201247035,129.10199057177
195,35.120124703,129.10199057266
196,35.1201247025,129.10199057355
197,35.120124702,129.10199057444
198,35.1201247015,129.10199057533
199,35.120124701,129.10199057622
200,35.1201247005,129.10199057711
201,35.1201247,129.101990578
202,35.1201246995,129.10199057889
203,35.120124699,129.10199057978
204,35.1201246985,129.10199058067
205,35.120124698,129.10199058156
206,35.1201246975,129.10199058245
207,35.120124697,129.10199058334
208,35.1201246965,129.10199058423
209,35.120124696,129.10199058512
210,35.1201246955,129.10199058601
211,35.120124695,129.1019905869
212,35.1201246945,129.10199058779
213,35.120124694,129.10199058868
214,35.1201246935,129.10199058957
215,35.120124693,129.10199059046
216,35.1201246925,129.10199059135
217,35.120124692,129.10199059224
218,35.1201246915,129.10199059313
219,35.120124691,129.10199059402
220,35.1201246905,129.10199059491
221,35.12012469,129.1019905958
222,35.1201246895,129.10199059669
223,35.120124689,129.10199059758
224,35.1201246885,129.10199059847
225,35.120124688,129.10199059936
226,35.1201246875,129.10199060025
227,35.120124687,129.10199060114
228,35.1201246865,129.10199060203
229,35.120124686,129.10199060292
230,35.1201246855,129.10199060381
231,35.120124685,129.1019906047
232,35.1201246845,129.10199060559
233,35.120124684,129.10199060648
234,35.1201246835,129.10199060737
235,35.120124683,129.10199060826
236,35.1201246825,129.10199060915
237,35.120124682,129.10199061004
238,35.1201246815,129.10199061093
239,35.120124681,129.10199061182
240,35.1201246805,129.10199061271
241,35.12012468,129.1019906136
242,35.1201246795,129.10199061449
243,35.120124679,129.10199061538
244,35.1201246785,129.10199061627
245,35.120124678,129.10199061716
246,35.1201246775,129.10199061805
247,35.120124677,129.10199061894
248,35.1201246765,129.10199061983
249,35.120124676,129.10199062072
250,35.1201246755,129.10199062161
251,35.120124675,129.1019906225
252,35.1201246745,129.10199062339
253,35.120124674,129.10199062428
254,35.1201246735,129.10199062517
255,35.120124673,129.10199062606
256,35.1201246725,129.10199062695
257,35.120124672,129.10199062784
258,35.1201246715,129.10199062873
259,35.120124671,129.10199062962
260,35.1201246705,129.10199063051
261,35.12012467,129.1019906314
262,35.1201246695,129.10199063229
263,35.120124669,129.10199063318
264,35.1201246685,129.10199063407
265,35.120124668,129.10199063496
266,35.1201246675,129.10199063585
267,35.120124667,129.10199063674
268,35.1201246665,129.10199063763
269,35.120124666,129.10199063852
270,35.1201246655,129.10199063941
271,35.120124665,129.1019906403
272,35.1201246645,129.10199064119
273,35.120124664,129.10199064208
274,35.1201246635,129.10199064297
275,35.120124663,129.10199064386
276,35.1201246625,129.10199064475
277,35.120124662,129.10199064564
278,35.1201246615,129.10199064653
279,35.120124661,129.10199064742
280,35.1201246605,129.10199064831
281,35.12012466,129.1019906492
282,35.1201246595,129.10199065009
283,35.120124659,129.10199065098
284,35.1201246585,129.10199065187
285,35.120124658,129.10199065276
286,35.1201246575,129.10199065365
287,35.120124657,129.10199065454
288,35.1201246565,129.10199065543
289,35.120124656,129.10199065632
290,35.1201246555,129.10199065721
291,35.120124655,129.1019906581
292,35.1201246545,129.10199065899
293,35.120124654,129.10199065988
294,35.1201246535,129.10199066077
295,35.120124653,129.10199066166
296,35.1201246525,129.10199066255
297,35.120124652,129.10199066344
298,35.1201246515,129.10199066433
299,35.120124651,129.10199066522
300,35.1201246505,129.10199066611
301,35.12012465,129.101990667
302,35.1201246495,129.10199066789
303,35.120124649,129.10199066878
304,35.1201246485,129.10199066967
305,35.120124648,129.10199067056
306,35.1201246475,129.10199067145
307,35.120124647,129.10199067234
308,35.1201246465,129.10199067323
309,35.120124646,129.10199067412
310,35.1201246455,129.10199067501
311,35.120124645,129.1019906759
312,35.1201246445,129.10199067679
313,35.120124644,129.10199067768
314,35.1201246435,129.10199067857
315,35.120124643,129.10199067946
316,35.1201246425,129.10199068035
317,35.120124642,129.10199068124
318,35.1201246415,129.10199068213
319,35.120124641,129.10199068302
320,35.1201246405,129.10199068391
321,35.12012464,129.1019906848
322,35.1201246395,129.10199068569
323,35.120124639,129.10199068658
324,35.1201246385,129.10199068747
325,35.120124638,129.10199068836
326,35.1201246375,129.10199068925
327,35.120124637,129.10199069014
328,35.1201246365,129.10199069103
329,35.120124636,129.10199069192
330,35.1201246355,129.10199069281
331,35.120124635,129.1019906937
332,35.1201246345,129.10199069459
333,35.120124634,129.10199069548
334,35.1201246335,129.10199069637
335,35.120124633,129.10199069726
336,35.1201246325,129.10199069815
337,35.120124632,129.10199069904
338,35.1201246315,129.10199069993
339,35.120124631,129.10199070082
340,35.1201246305,129.10199070171
341,35.12012463,129.1019907026
342,35.1201246295,129.10199070349
343,35.120124629,129.10199070438
344,35.1201246285,129.10199070527
345,35.120124628,129.10199070616
346,35.1201246275,129.10199070705
347,35.120124627,129.10199070794
348,35.1201246265,129.10199070883
349,35.120124626,129.10199070972
350,35.1201246255,129.10199071061
351,35.120124625,129.1019907115
352,35.1201246245,129.10199071239
353,35.120124624,129.10199071328
354,35.1201246235,129.10199071417
355,35.120124623,129.10199071506
356,35.1201246225,129.10199071595
357,35.120124622,129.10199071684
358,35.1201246215,129.10199071773
360,35.1201215995,129.10200320089
361,35.120121599,129.10200320178
362,35.1201215985,129.10200320267
363,35.120121598,129.10200320356
364,35.1201215975,129.10200320445
365,35.120121597,129.10200320534
366,35.1201215965,129.10200320623
367,35.120121596,129.10200320712
368,35.1201215955,129.10200320801
369,35.120121595,129.1020032089
370,35.1201215945,129.10200320979
371,35.120121594,129.10200321068
372,35.1201215935,129.10200321157
373,35.120121593,129.10200321246
374,35.1201215925,129.10200321335
375,35.120121592,129.10200321424
376,35.1201215915,129.10200321513
377,35.120121591,129.10200321602
378,35.1201215905,129.10200321691
379,35.12012159,129.1020032178
380,35.1201215895,129.10200321869
381,35.120121589,129.10200321958
382,35.1201215885,129.10200322047
383,35.120121588,129.10200322136
384,35.1201215875,129.10200322225
385,35.120121587,129.10200322314
386,35.1201215865,129.10200322403
387,35.120121586,129.10200322492
388,35.1201215855,129.10200322581
389,35.120121585,129.1020032267
390,35.1201215845,129.10200322759
391,35.120121584,129.10200322848
392,35.1201215835,129.10200322937
393,35.120121583,129.10200323026
394,35.1201215825,129.10200323115
395,35.120121582,129.10200323204
396,35.1201215815,129.10200323293
397,35.120121581,129.10200323382
398,35.1201215805,129.10200323471
399,35.12012158,129.1020032356
400,35.1201215795,129.10200323649
401,35.120121579,129.10200323738
402,35.1201215785,129.10200323827
403,35.120121578,129.10200323916
404,35.1201215775,129.10200324005
405,35.120121577,129.10200324094
406,35.1201215765,129.10200324183
407,35.120121576,129.10200324272
408,35.1201215755,129.10200324361
409,35.120121575,129.1020032445
410,35.1201215745,129.10200324539
411,35.120121574,129.10200324628
412,35.1201215735,129.10200324717
413,35.120121573,129.10200324806
414,35.1201215725,129.10200324895
415,35.120121572,129.10200324984
416,35.1201215715,129.10200325073
417,35.120121571,129.10200325162
418,35.1201215705,129.10200325251
419,35.12012157,129.1020032534
420,35.1201215695,129.10200325429
421,35.120121569,129.10200325518
422,35.1201215685,129.10200325607
423,35.120121568,129.10200325696
424,35.1201215675,129.10200325785
425,35.120121567,129.10200325874
426,35.1201215665,129.10200325963
427,35.120121566,129.10200326052
428,35.1201215655,129.10200326141
429,35.120121565,129.1020032623
430,35.1201215645,129.10200326319
431,35.120121564,129.10200326408
432,35.1201215635,129.10200326497
433,35.120121563,129.10200326586
434,35.1201215625,129.10200326675
435,35.120121562,129.10200326764
436,35.1201215615,129.10200326853
437,35.120121561,129.10200326942
438,35.1201215605,129.10200327031
439,35.12012156,129.1020032712
440,35.1201215595,129.10200327209
441,35.120121559,129.10200327298
442,35.1201215585,129.10200327387
443,35.120121558,129.10200327476
444,35.1201215575,129.10200327565
445,35.120121557,129.10200327654
446,35.1201215565,129.10200327743
447,35.120121556,129.10200327832
448,35.1201215555,129.10200327921
449,35.120121555,129.1020032801
450,35.1201215545,129.10200328099
451,35.120121554,129.10200328188
452,35.1201215535,129.10200328277
453,35.120121553,129.10200328366
454,35.1201215525,129.10200328455
455,35.120121552,129.10200328544
456,35.1201215515,129.10200328633
457,35.120121551,129.10200328722
458,35.1201215505,129.10200328811
459,35.12012155,129.102003289
460,35.1201215495,129.10200328989
461,35.120121549,129.10200329078
462,35.1201215485,129.10200329167
463,35.120121548,129.10200329256
464,35.1201215475,129.10200329345
465,35.120121547,129.10200329434
466,35.1201215465,129.10200329523
467,35.120121546,129.10200329612
468,35.1201215455,129.10200329701
469,35.120121545,129.1020032979
470,35.1201215445,129.10200329879
471,35.120121544,129.10200329968
472,35.1201215435,129.10200330057
473,35.120121543,129.10200330146
474,35.1201215425,129.10200330235
475,35.120121542,129.10200330324
476,35.1201215415,129.10200330413
477,35.120121541,129.10200330502
478,35.1201215405,129.10200330591
479,35.12012154,129.1020033068
480,35.1201215395,129.10200330769
482,35.1201151995,129.10202880089
483,35.120115199,129.10202880178
484,35.1201151985,129.10202880267
485,35.120115198,129.10202880356
486,35.1201151975,129.10202880445
487,35.120115197,129.10202880534
488,35.1201151965,129.10202880623
489,35.120115196,129.10202880712
490,35.1201151955,129.10202880801
491,35.1201119995,129.10205440089
492,35.120111999,129.10205440178
493,35.1201119985,129.10205440267
494,35.120111998,129.10205440356
495,35.1201119975,129.10205440445
496,35.120111997,129.10205440534
497,35.1201119965,129.10205440623
498,35.120111996,129.10205440712
499,35.1201119955,129.10205440801
500,35.120111995,129.1020544089
501,35.1201119945,129.10205440979
502,35.120111994,129.10205441068
503,35.1201119935,129.10205441157
504,35.120111993,129.10205441246
505,35.1201119925,129.10205441335
506,35.120111992,129.10205441424
507,35.1201119915,129.10205441513
508,35.120111991,129.10205441602
509,35.1201119905,129.10205441691
510,35.12011199,129.1020544178
511,35.1201119895,129.10205441869
512,35.120111989,129.10205441958
513,35.1201119885,129.10205442047
514,35.120111988,129.10205442136
515,35.1201119875,129.10205442225
516,35.120111987,129.10205442314
517,35.1201119865,129.10205442403
518,35.120111986,129.10205442492
519,35.1201119855,129.10205442581
520,35.120111985,129.1020544267
521,35.1201119845,129.10205442759
522,35.120111984,129.10205442848
523,35.1201119835,129.10205442937
524,35.120111983,129.10205443026
525,35.1201119825,129.10205443115
526,35.120111982,129.10205443204
527,35.1201119815,129.10205443293
528,35.120111981,129.10205443382
529,35.1201119805,129.10205443471
530,35.12011198,129.1020544356
531,35.1201119795,129.10205443649
532,35.120111979,129.10205443738
533,35.1201119785,129.10205443827
534,35.120111978,129.10205443916
535,35.1201119775,129.10205444005
536,35.120111977,129.10205444094
537,35.1201119765,129.10205444183
538,35.120111976,129.10205444272
539,35.1201119755,129.10205444361
540,35.120111975,129.1020544445
541,35.1201119745,129.10205444539
542,35.120111974,129.10205444628
543,35.1201119735,129.10205444717
544,35.120111973,129.10205444806
545,35.1201119725,129.10205444895
546,35.120111972,129.10205444984
547,35.1201119715,129.10205445073
548,35.120111971,129.10205445162
549,35.1201119705,129.10205445251
550,35.12011197,129.1020544534
551,35.1201119695,129.10205445429
552,35.120111969,129.10205445518
553,35.1201119685,129.10205445607
554,35.120111968,129.10205445696
555,35.1201119675,129.10205445785
556,35.120111967,129.10205445874
557,35.1201119665,129.10205445963
558,35.120111966,129.10205446052
559,35.1201119655,129.10205446141
560,35.120111965,129.1020544623
561,35.1201119645,129.10205446319
562,35.120111964,129.10205446408
563,35.1201119635,129.10205446497
564,35.120111963,129.10205446586
565,35.1201119625,129.10205446675
566,35.120111962,129.10205446764
567,35.1201119615,129.10205446853
568,35.120111961,129.10205446942
569,35.1201119605,129.10205447031
570,35.12011196,129.1020544712
571,35.1201119595,129.10205447209
572,35.120111959,129.10205447298
573,35.1201119585,129.10205447387
574,35.120111958,129.10205447476
575,35.1201119575,129.10205447565
576,35.120111957,129.10205447654
577,35.1201119565,129.10205447743
578,35.120111956,129.10205447832
579,35.1201119555,129.10205447921
580,35.120111955,129.1020544801
581,35.1201119545,129.10205448099
582,35.120111954,129.10205448188
583,35.1201119535,129.10205448277
584,35.120111953,129.10205448366
585,35.1201119525,129.10205448455
586,35.120111952,129.10205448544
587,35.1201119515,129.10205448633
588,35.120111951,129.10205448722
589,35.1201119505,129.10205448811
590,35.12011195,129.102054489
591,35.1201119495,129.10205448989
592,35.120111949,129.10205449078
593,35.1201119485,129.10205449167
594,35.120111948,129.10205449256
595,35.1201119475,129.10205449345
596,35.120111947,129.10205449434
597,35.1201119465,129.10205449523
598,35.120111946,129.10205449612
599,35.1201119455,129.10205449701
600,35.120111945,129.1020544979
601,35.1201119445,129.10205449879
602,35.120111944,129.10205449968
603,35.1201119435,129.10205450057
604,35.120111943,129.10205450146
605,35.1201119425,129.10205450235
606,35.120111942,129.10205450324
607,35.1201119415,129.10205450413
608,35.120111941,129.10205450502
610,35.1201023995,129.10206720089
611,35.120102399,129.10206720178
612,35.1201023985,129.10206720267
613,35.120102398,129.10206720356
614,35.1201023975,129.10206720445
615,35.120102397,129.10206720534
616,35.1201023965,129.10206720623
617,35.120102396,129.10206720712
618,35.1201023955,129.10206720801
619,35.120102395,129.1020672089
620,35.1201023945,129.10206720979
621,35.120102394,129.10206721068
622,35.1201023935,129.10206721157
623,35.120102393,129.10206721246
624,35.1201023925,129.10206721335
625,35.120102392,129.10206721424
626,35.1201023915,129.10206721513
627,35.120102391,129.10206721602
628,35.1201023905,129.10206721691
629,35.12010239,129.1020672178
630,35.1201023895,129.10206721869
631,35.120102389,129.10206721958
632,35.1201023885,129.10206722047
633,35.120102388,129.10206722136
634,35.1201023875,129.10206722225
635,35.120102387,129.10206722314
636,35.1201023865,129.10206722403
637,35.120102386,129.10206722492
638,35.1201023855,129.10206722581
639,35.120102385,129.1020672267
640,35.1201023845,129.10206722759
641,35.120102384,129.10206722848
642,35.1201023835,129.10206722937
643,35.120102383,129.10206723026
644,35.1201023825,129.10206723115
645,35.120102382,129.10206723204
646,35.1201023815,129.10206723293
647,35.120102381,129.10206723382
648,35.1201023805,129.10206723471
649,35.12010238,129.1020672356
650,35.1201023795,129.10206723649
651,35.120102379,129.10206723738
652,35.1201023785,129.10206723827
653,35.120102378,129.10206723916
654,35.1201023775,129.10206724005
655,35.120102377,129.10206724094
656,35.1201023765,129.10206724183
657,35.120102376,129.10206724272
658,35.1201023755,129.10206724361
659,35.120102375,129.1020672445
660,35.1201023745,129.10206724539
661,35.120102374,129.10206724628
662,35.1201023735,129.10206724717
663,35.120102373,129.10206724806
664,35.1201023725,129.10206724895
665,35.120102372,129.10206724984
666,35.1201023715,129.10206725073
667,35.120102371,129.10206725162
668,35.1201023705,129.10206725251
669,35.12010237,129.1020672534
670,35.1201023695,129.10206725429
671,35.120102369,129.10206725518
672,35.1201023685,129.10206725607
673,35.120102368,129.10206725696
674,35.1201023675,129.10206725785
675,35.120102367,129.10206725874
676,35.1201023665,129.10206725963
677,35.120102366,129.10206726052
678,35.1201023655,129.10206726141
679,35.120102365,129.1020672623
680,35.1201023645,129.10206726319
681,35.120102364,129.10206726408
682,35.1201023635,129.10206726497
683,35.120102363,129.10206726586
684,35.1201023625,129.10206726675
685,35.120102362,129.10206726764
686,35.1201023615,129.10206726853
687,35.120102361,129.10206726942
688,35.1201023605,129.10206727031
689,35.12010236,129.1020672712
690,35.1201023595,129.10206727209
691,35.120102359,129.10206727298
692,35.1201023585,129.10206727387
693,35.120102358,129.10206727476
694,35.1201023575,129.10206727565
695,35.120102357,129.10206727654
696,35.1201023565,129.10206727743
697,35.120102356,129.10206727832
698,35.1201023555,129.10206727921
699,35.120102355,129.1020672801
700,35.1201023545,129.10206728099
701,35.120102354,129.10206728188
702,35.1201023535,129.10206728277
703,35.120102353,129.10206728366
704,35.1201023525,129.10206728455
705,35.120102352,129.10206728544
706,35.1201023515,129.10206728633
707,35.120102351,129.10206728722
708,35.1201023505,129.10206728811
709,35.12010235,129.102067289
710,35.1201023495,129.10206728989
711,35.120102349,129.10206729078
712,35.1201023485,129.10206729167
713,35.120102348,129.10206729256
714,35.1201023475,129.10206729345
715,35.120102347,129.10206729434
716,35.1201023465,129.10206729523
717,35.120102346,129.10206729612
718,35.1201023455,129.10206729701
719,35.120102345,129.1020672979
720,35.1201023445,129.10206729879
721,35.120102344,129.10206729968
722,35.1201023435,129.10206730057
723,35.120102343,129.10206730146
724,35.1201023425,129.10206730235
725,35.120102342,129.10206730324
726,35.1201023415,129.10206730413
727,35.120102341,129.10206730502
728,35.1201023405,129.10206730591
729,35.12010234,129.1020673068
730,35.1201023395,129.10206730769
731,35.120102339,129.10206730858
732,35.1201023385,129.10206730947
733,35.120102338,129.10206731036
734,35.1201023375,129.10206731125
735,35.120102337,129.10206731214
736,35.1201023365,129.10206731303
737,35.120102336,129.10206731392
738,35.1201023355,129.10206731481
739,35.120102335,129.1020673157
740,35.1201023345,129.10206731659
741,35.120102334,129.10206731748
742,35.1201023335,129.10206731837
743,35.120102333,129.10206731926
744,35.1201023325,129.10206732015
