Point Number,Latitude,Longitude
2,35.12441279956,129.10126079971
3,35.12441279912,129.10126079942
4,35.12441279868,129.10126079913
5,35.12441279824,129.10126079884
6,35.1244127978,129.10126079855
7,35.12441279736,129.10126079826
8,35.12441279692,129.10126079797
9,35.12441279648,129.10126079768
10,35.12441279604,129.10126079739
11,35.1244127956,129.1012607971
12,35.12441279516,129.10126079681
13,35.12441279472,129.10126079652
14,35.12441279428,129.10126079623
15,35.12441279384,129.10126079594
16,35.1244127934,129.10126079565
17,35.12441279296,129.10126079536
18,35.12441279252,129.10126079507
19,35.12441279208,129.10126079478
20,35.12441279164,129.10126079449
21,35.1244127912,129.1012607942
22,35.12441279076,129.10126079391
23,35.12441279032,129.10126079362
24,35.12441278988,129.10126079333
25,35.12441278944,129.10126079304
26,35.124412789,129.10126079275
27,35.12441278856,129.10126079246
28,35.12441278812,129.10126079217
29,35.12441278768,129.10126079188
30,35.12441278724,129.10126079159
31,35.1244127868,129.1012607913
32,35.12441278636,129.10126079101
33,35.12441278592,129.10126079072
34,35.12441278548,129.10126079043
35,35.12441278504,129.10126079014
36,35.1244127846,129.10126078985
37,35.12441278416,129.10126078956
38,35.12441278372,129.10126078927
39,35.12441278328,129.10126078898
40,35.12441278284,129.10126078869
41,35.1244127824,129.1012607884
42,35.12441278196,129.10126078811
43,35.12441278152,129.10126078782
44,35.12441278108,129.10126078753
45,35.12441278064,129.10126078724
46,35.1244127802,129.10126078695
47,35.12441277976,129.10126078666
48,35.12441277932,129.10126078637
49,35.12441599956,129.10126079971
50,35.12441599912,129.10126079942
51,35.12441599868,129.10126079913
52,35.12441599824,129.10126079884
53,35.1244159978,129.10126079855
54,35.12441599736,129.10126079826
55,35.12441599692,129.10126079797
56,35.12441599648,129.10126079768
57,35.12441599604,129.10126079739
58,35.1244159956,129.1012607971
59,35.12441599516,129.10126079681
60,35.12441599472,129.10126079652
61,35.12441599428,129.10126079623
62,35.12441599384,129.10126079594
63,35.1244159934,129.10126079565
64,35.12441599296,129.10126079536
65,35.12441599252,129.10126079507
66,35.12441599208,129.10126079478
67,35.12441599164,129.10126079449
68,35.1244159912,129.1012607942
69,35.12441599076,129.10126079391
70,35.12441599032,129.10126079362
71,35.12441598988,129.10126079333
72,35.12441598944,129.10126079304
73,35.124415989,129.10126079275
74,35.12441598856,129.10126079246
75,35.12441598812,129.10126079217
76,35.12441598768,129.10126079188
77,35.12441598724,129.10126079159
78,35.1244159868,129.1012607913
79,35.12441598636,129.10126079101
80,35.12441598592,129.10126079072
81,35.12441598548,129.10126079043
82,35.12441598504,129.10126079014
83,35.1244159846,129.10126078985
84,35.12441598416,129.10126078956
85,35.12441598372,129.10126078927
86,35.12441598328,129.10126078898
87,35.12441598284,129.10126078869
88,35.1244159824,129.1012607884
89,35.12441598196,129.10126078811
90,35.12441598152,129.10126078782
91,35.12441598108,129.10126078753
92,35.12441598064,129.10126078724
93,35.1244159802,129.10126078695
94,35.12441597976,129.10126078666
95,35.12441597932,129.10126078637
96,35.12441597888,129.10126078608
97,35.12441597844,129.10126078579
98,35.124415978,129.1012607855
99,35.12441597756,129.10126078521
100,35.12441597712,129.10126078492
101,35.12441597668,129.10126078463
102,35.12441597624,129.10126078434
103,35.1244159758,129.10126078405
104,35.12441597536,129.10126078376
105,35.12441597492,129.10126078347
106,35.12441597448,129.10126078318
107,35.12441597404,129.10126078289
108,35.1244159736,129.1012607826
109,35.12441597316,129.10126078231
110,35.12441597272,129.10126078202
111,35.12441597228,129.10126078173
112,35.12441597184,129.10126078144
113,35.1244159714,129.10126078115
114,35.12441597096,129.10126078086
115,35.12441597052,129.10126078057
116,35.12441597008,129.10126078028
117,35.12441596964,129.10126077999
118,35.1244159692,129.1012607797
119,35.12441596876,129.10126077941
120,35.12441596832,129.10126077912
121,35.12441596788,129.10126077883
122,35.12441596744,129.10126077854
123,35.124415967,129.10126077825
124,35.12441596656,129.10126077796
125,35.12441596612,129.10126077767
126,35.12441596568,129.10126077738
127,35.12441596524,129.10126077709
128,35.1244159648,129.1012607768
129,35.12441596436,129.10126077651
130,35.12441596392,129.10126077622
131,35.12441596348,129.10126077593
132,35.12441596304,129.10126077564
133,35.1244159626,129.10126077535
134,35.12441596216,129.10126077506
135,35.12441596172,129.10126077477
136,35.12441596128,129.10126077448
137,35.12441596084,129.10126077419
138,35.1244159604,129.1012607739
139,35.12441595996,129.10126077361
140,35.12441595952,129.10126077332
141,35.12441595908,129.10126077303
142,35.12441595864,129.10126077274
143,35.1244159582,129.10126077245
144,35.12441595776,129.10126077216
145,35.12441595732,129.10126077187
146,35.12441595688,129.10126077158
147,35.12441595644,129.10126077129
148,35.124415956,129.101260771
149,35.12441595556,129.10126077071
150,35.12441595512,129.10126077042
151,35.12441595468,129.10126077013
152,35.12441595424,129.10126076984
153,35.1244159538,129.10126076955
154,35.12441595336,129.10126076926
155,35.12441595292,129.10126076897
156,35.12441595248,129.10126076868
157,35.12441595204,129.10126076839
158,35.1244159516,129.1012607681
159,35.12441595116,129.10126076781
160,35.12441595072,129.10126076752
161,35.12441595028,129.10126076723
162,35.12441594984,129.10126076694
163,35.1244159494,129.10126076665
164,35.12441594896,129.10126076636
165,35.12441594852,129.10126076607
166,35.12441594808,129.10126076578
167,35.12441594764,129.10126076549
168,35.1244159472,129.1012607652
169,35.12441594676,129.10126076491
170,35.12441594632,129.10126076462
171,35.12441594588,129.10126076433
172,35.12441594544,129.10126076404
173,35.124415945,129.10126076375
174,35.12441594456,129.10126076346
175,35.12441594412,129.10126076317
176,35.12441594368,129.10126076288
177,35.12441594324,129.10126076259
178,35.1244159428,129.1012607623
179,35.12441594236,129.10126076201
180,35.12441594192,129.10126076172
181,35.12441594148,129.10126076143
182,35.12441594104,129.10126076114
183,35.1244159406,129.10126076085
184,35.12441594016,129.10126076056
185,35.12441593972,129.10126076027
186,35.12441593928,129.10126075998
187,35.12441593884,129.10126075969
188,35.1244159384,129.1012607594
189,35.12441593796,129.10126075911
