Point Number,Latitude,Longitude
2,35.12437120029,129.10133759994
3,35.12437120058,129.10133759988
4,35.12437120087,129.10133759982
5,35.12437120116,129.10133759976
6,35.12437120145,129.1013375997
7,35.12437120174,129.10133759964
8,35.12437120203,129.10133759958
9,35.12437120232,129.10133759952
10,35.12437120261,129.10133759946
11,35.1243712029,129.1013375994
12,35.12437120319,129.10133759934
13,35.12437120348,129.10133759928
14,35.12437120377,129.10133759922
15,35.12437120406,129.10133759916
16,35.12437120435,129.1013375991
17,35.12437120464,129.10133759904
18,35.12437120493,129.10133759898
19,35.12437120522,129.10133759892
20,35.12437120551,129.10133759886
21,35.1243712058,129.1013375988
22,35.12437120609,129.10133759874
23,35.12437120638,129.10133759868
24,35.12437120667,129.10133759862
25,35.12437120696,129.10133759856
26,35.12437120725,129.1013375985
27,35.12437120754,129.10133759844
28,35.12437120783,129.10133759838
29,35.12437120812,129.10133759832
30,35.12437120841,129.10133759826
31,35.1243712087,129.1013375982
32,35.12437120899,129.10133759814
33,35.12437120928,129.10133759808
34,35.12437120957,129.10133759802
35,35.12437120986,129.10133759796
36,35.12437121015,129.1013375979
37,35.12437121044,129.10133759784
38,35.12437121073,129.10133759778
39,35.12437121102,129.10133759772
40,35.12437121131,129.10133759766
41,35.1243712116,129.1013375976
42,35.12437121189,129.10133759754
43,35.12437121218,129.10133759748
44,35.12437121247,129.10133759742
45,35.12437121276,129.10133759736
46,35.12437121305,129.1013375973
47,35.12437121334,129.10133759724
48,35.12437121363,129.10133759718
49,35.12437121392,129.10133759712
50,35.12437121421,129.10133759706
51,35.1243712145,129.101337597
52,35.12437121479,129.10133759694
53,35.12437121508,129.10133759688
54,35.12437121537,129.10133759682
55,35.12437121566,129.10133759676
56,35.12437121595,129.1013375967
57,35.12437121624,129.10133759664
58,35.12437121653,129.10133759658
59,35.12437121682,129.10133759652
60,35.12437121711,129.10133759646
61,35.1243712174,129.1013375964
62,35.12437121769,129.10133759634
63,35.12437121798,129.10133759628
64,35.12437121827,129.10133759622
65,35.12437121856,129.10133759616
66,35.12437121885,129.1013375961
67,35.12437121914,129.10133759604
68,35.12437121943,129.10133759598
69,35.12437121972,129.10133759592
70,35.12437122001,129.10133759586
71,35.1243712203,129.1013375958
72,35.12437122059,129.10133759574
73,35.12437122088,129.10133759568
74,35.12437122117,129.10133759562
75,35.12437122146,129.10133759556
76,35.12437122175,129.1013375955
77,35.12437122204,129.10133759544
78,35.12437122233,129.10133759538
79,35.12437122262,129.10133759532
80,35.12437122291,129.10133759526
81,35.1243712232,129.1013375952
82,35.12437122349,129.10133759514
83,35.12437122378,129.10133759508
84,35.12437122407,129.10133759502
85,35.12437122436,129.10133759496
86,35.12437122465,129.1013375949
87,35.12437122494,129.10133759484
88,35.12437122523,129.10133759478
89,35.12437122552,129.10133759472
90,35.12437122581,129.10133759466
91,35.1243712261,129.1013375946
92,35.12437122639,129.10133759454
93,35.12437122668,129.10133759448
94,35.12437122697,129.10133759442
95,35.12437122726,129.10133759436
96,35.12437122755,129.1013375943
97,35.12437122784,129.10133759424
98,35.12437122813,129.10133759418
99,35.12437122842,129.10133759412
100,35.12437122871,129.10133759406
101,35.124371229,129.101337594
102,35.12437122929,129.10133759394
103,35.12437122958,129.10133759388
104,35.12437122987,129.10133759382
105,35.12437123016,129.10133759376
106,35.12437123045,129.1013375937
107,35.12437123074,129.10133759364
108,35.12437123103,129.10133759358
109,35.12437123132,129.10133759352
110,35.12437123161,129.10133759346
111,35.1243712319,129.1013375934
112,35.12437123219,129.10133759334
113,35.12437123248,129.10133759328
114,35.12437123277,129.10133759322
115,35.12437123306,129.10133759316
116,35.12437123335,129.1013375931
117,35.12437123364,129.10133759304
118,35.12437123393,129.10133759298
119,35.12437123422,129.10133759292
120,35.12437123451,129.10133759286
121,35.1243712348,129.1013375928
122,35.12437123509,129.10133759274
123,35.12437123538,129.10133759268
124,35.12437123567,129.10133759262
125,35.12437123596,129.10133759256
126,35.12437123625,129.1013375925
127,35.12437123654,129.10133759244
128,35.12437123683,129.10133759238
129,35.12437123712,129.10133759232
130,35.12437123741,129.10133759226
131,35.1243712377,129.1013375922
132,35.12437123799,129.10133759214
133,35.12437123828,129.10133759208
134,35.12437123857,129.10133759202
135,35.12437123886,129.10133759196
136,35.12437123915,129.1013375919
137,35.12437123944,129.10133759184
138,35.12437123973,129.10133759178
139,35.12437124002,129.10133759172
140,35.12437124031,129.10133759166
141,35.1243712406,129.1013375916
142,35.12437124089,129.10133759154
143,35.12437124118,129.10133759148
144,35.12437124147,129.10133759142
145,35.12437124176,129.10133759136
146,35.12437124205,129.1013375913
