지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C)
108,서울,1978-12,1.6,5.6,-1.6,14.6,-10.7
108,서울,1979-01,.9,5.1,-2.8,13.4,-10.9
108,서울,1979-02,.6,5,-2.8,17.4,-13
108,서울,1979-03,6,11.3,2,18.4,-4.1
108,서울,1979-04,11.2,16.2,6.8,23.8,.4
108,서울,1979-05,16.5,22.2,11.6,29.1,8
108,서울,1979-06,21.4,25.4,18.2,28.9,14.4
108,서울,1979-07,24.3,28.5,21.3,32.2,17.5
108,서울,1979-08,25.4,29.5,22,32.6,16.2
108,서울,1979-09,20.1,25,15.9,29.7,8.9
108,서울,1979-10,15.9,21.9,10.7,26.3,2.9
108,서울,1979-11,5.7,10.5,1.6,23.5,-11.1
108,서울,1979-12,1.4,5.3,-1.8,11.7,-10.7
108,서울,1980-01,-3.7,.5,-7.3,8.9,-15.9
108,서울,1980-02,-3.1,1.8,-7,12,-14.5
108,서울,1980-03,5.2,10.8,1,18.1,-2.6
108,서울,1980-04,10.1,15.3,5.7,21,1.4
108,서울,1980-05,16.5,22.1,11.6,31.7,7.5
108,서울,1980-06,21.6,26.5,17.5,31.6,12.1
108,서울,1980-07,22.7,26.7,19.9,30.3,16.9
108,서울,1980-08,22.8,26.7,19.9,30.6,17.2
108,서울,1980-09,19.6,24.9,15.2,29,8.1
108,서울,1980-10,13,18.7,8.2,25.6,0
108,서울,1980-11,8.6,13.5,4.3,19.8,-1.7
108,서울,1980-12,-3.8,.3,-7.4,12,-16.2
108,서울,1981-01,-7,-2.6,-10.7,1.3,-16.5
108,서울,1981-02,-1.4,2.7,-5,11.7,-15.6
108,서울,1981-03,5.7,11.5,1,21.7,-5.1
108,서울,1981-04,11.9,17.8,7,25.3,1.7
108,서울,1981-05,15.9,20.9,11.6,28.5,5.4
108,서울,1981-06,21.8,26.8,17.5,30.7,8.8
108,서울,1981-07,25.4,29.3,22.5,35.2,19.2
108,서울,1981-08,24.5,28.7,21.1,33,17.2
108,서울,1981-09,20,25,15.8,29,11.6
108,서울,1981-10,13.4,18.1,9,23.3,.6
108,서울,1981-11,3.6,7.5,-.1,13.6,-7
108,서울,1981-12,.1,4.1,-3.7,10.2,-11
108,서울,1982-01,-3.5,.8,-7.1,6.8,-14.1
108,서울,1982-02,.6,5.5,-3.4,12.3,-11.8
108,서울,1982-03,5.9,10.9,1.7,17,-5.3
108,서울,1982-04,12.3,18.1,7.5,27.5,3.1
108,서울,1982-05,17.9,22.9,13.7,28.9,8
108,서울,1982-06,21.9,27.3,17.4,30.6,11.7
108,서울,1982-07,25.1,30.1,21.3,33.7,18.3
108,서울,1982-08,25.4,29.2,22.4,35.5,18.3
108,서울,1982-09,20.8,26.3,15.5,30.9,9.9
108,서울,1982-10,15.8,21.8,10.8,28.2,-1.1
108,서울,1982-11,7.9,12.5,3.8,21.4,-7.1
108,서울,1982-12,-.1,3.7,-3.5,10.6,-9.8
108,서울,1983-01,-1.7,2.6,-5.4,9.2,-13.9
108,서울,1983-02,-1.7,2.4,-5.6,10.3,-13.3
108,서울,1983-03,6.4,11.3,2,18.9,-3.6
108,서울,1983-04,13.6,19,8.4,26.7,.8
108,서울,1983-05,18.5,23.7,13.3,29.9,7.3
108,서울,1983-06,22.2,27.9,17.4,32.6,13.4
108,서울,1983-07,23.6,26.8,21,30.9,18.4
108,서울,1983-08,26,30,22.9,34.3,17.8
108,서울,1983-09,22,26.1,18.5,31.5,11.9
108,서울,1983-10,14.2,18.7,10.1,23.7,2
108,서울,1983-11,6.7,11.2,2.5,18.5,-6
108,서울,1983-12,-1.1,2.9,-5.2,11.7,-13.5
108,서울,1984-01,-5.9,-1.7,-9.5,4.1,-13.6
108,서울,1984-02,-3.5,1.3,-7.3,8,-15.1
108,서울,1984-03,2.5,7.3,-1.3,14.2,-6.5
108,서울,1984-04,12.1,17.9,7.4,23,.1
108,서울,1984-05,18.2,24,13.5,28.1,7.7
108,서울,1984-06,22.6,27.7,18.4,34.2,14.7
108,서울,1984-07,25.2,29.5,22,34.7,19.2
108,서울,1984-08,26.3,30.5,23.3,35.2,18.9
108,서울,1984-09,20.1,25,16.3,28.7,10.1
108,서울,1984-10,13.8,19.5,9,25.7,1.2
108,서울,1984-11,8.1,12.9,4.1,21.2,-5.7
108,서울,1984-12,-.9,3.5,-4.2,14.5,-12.8
108,서울,1985-01,-5.9,-1.2,-9.8,3.5,-16.7
108,서울,1985-02,-.3,4.2,-3.9,10.8,-11
108,서울,1985-03,4.3,9.5,.4,19,-8.2
108,서울,1985-04,11.6,17.8,6.5,24.8,0
108,서울,1985-05,18.1,23.6,13.3,29.6,9
108,서울,1985-06,22.1,27.3,18,31.9,14.2
108,서울,1985-07,25.3,29.2,22.1,35.4,18.7
108,서울,1985-08,26.3,30.4,23.1,34.3,18.5
108,서울,1985-09,20.2,23.9,17.3,30.1,10.1
108,서울,1985-10,14.7,19.6,10.5,25.7,4.4
108,서울,1985-11,5.6,9.5,2.1,18.8,-4.6
108,서울,1985-12,-3.4,.4,-6.9,8.2,-13.6
108,서울,1986-01,-5.4,-1.4,-8.9,7.1,-19.2
108,서울,1986-02,-3.3,.7,-6.9,5.2,-12.7
108,서울,1986-03,4.9,10.2,.7,18.6,-5.4
108,서울,1986-04,11.9,17.8,6.8,24.3,1.6
108,서울,1986-05,17.1,22.5,12.4,27.5,8.5
108,서울,1986-06,21.9,26.3,18.2,32.4,13.8
108,서울,1986-07,23.5,27,20.5,31.7,15.4
108,서울,1986-08,24.5,28.3,21.2,32.8,18.2
108,서울,1986-09,19.9,24.7,15.8,31,10.2
108,서울,1986-10,12.7,17.2,8.8,23.9,-.5
108,서울,1986-11,5.2,9.5,1.2,16.2,-5.7
108,서울,1986-12,1.9,5.4,-1.4,13.2,-9.7
108,서울,1987-01,-3,1,-6.9,8.9,-15.1
108,서울,1987-02,-.1,4,-3.8,12.8,-10.6
108,서울,1987-03,4,8.6,.1,17.5,-7.6
108,서울,1987-04,10.8,16.3,6,24.7,.4
108,서울,1987-05,17,22.4,12.1,29,5.8
108,서울,1987-06,22.4,27.1,17.8,31.6,12
108,서울,1987-07,23.7,27.1,20.9,31.2,18.3
108,서울,1987-08,24.4,28.1,21.6,31.6,18.4
108,서울,1987-09,20.1,25.2,15.6,28.6,6.3
108,서울,1987-10,15.5,20.6,10.9,27.3,2.6
108,서울,1987-11,7.5,12,3.3,19,-9.2
108,서울,1987-12,.9,4.9,-2.6,11.8,-10.6
108,서울,1988-01,-2.1,1.9,-5.7,10.1,-12.1
108,서울,1988-02,-1.5,3.2,-5.3,12.2,-12.9
108,서울,1988-03,4.3,8.8,.1,16.1,-6.8
108,서울,1988-04,11.3,16.6,6.7,23.8,3.2
108,서울,1988-05,17.9,23.4,13,31.7,9.1
108,서울,1988-06,22.3,27.3,18.2,32.8,13.9
108,서울,1988-07,24.4,27.8,21.6,31.6,19
108,서울,1988-08,26.4,31,22.8,36.6,18.4
108,서울,1988-09,21.4,26.5,16.9,30.8,11
108,서울,1988-10,15,20.6,9.8,25.6,2.2
108,서울,1988-11,5.5,10.6,1.2,17.9,-5.6
108,서울,1988-12,.1,4.3,-3.7,13.9,-12.2
108,서울,1989-01,.8,3.9,-2.3,11.2,-11.2
108,서울,1989-02,2.4,7.1,-1.3,15.4,-8.2
108,서울,1989-03,6.1,10.7,2.3,16.1,-5
108,서울,1989-04,14.3,20.5,8.8,29.4,3.7
108,서울,1989-05,17.9,23.4,13.3,29.6,8.4
108,서울,1989-06,21.2,26.2,16.9,31.9,12.8
108,서울,1989-07,24.5,28.5,21.2,33.3,17.3
108,서울,1989-08,25.5,29.7,21.7,35.3,17.4
108,서울,1989-09,20.7,25.1,16.9,29.5,10.3
108,서울,1989-10,13.6,18.8,9,23.7,1.9
108,서울,1989-11,7.1,11.2,3.5,17.4,-6.3
108,서울,1989-12,1.4,4.9,-1.9,14.7,-8.7
108,서울,1990-01,-3.2,.2,-6.6,7.8,-17.1
108,서울,1990-02,2.7,5.8,-.1,12.9,-5.2
108,서울,1990-03,7.2,11.5,3.6,18.8,-1.3
108,서울,1990-04,11.3,16.3,6.7,26.3,1.6
108,서울,1990-05,16.2,21,12.2,27.1,7.2
108,서울,1990-06,20.7,24.6,17.4,29.4,13.4
108,서울,1990-07,24.9,28.4,22,34.2,16.7
108,서울,1990-08,26.4,30.9,22.8,35.5,18.5
108,서울,1990-09,21.1,25.7,17,31.1,10.2
108,서울,1990-10,15.4,21.3,10.3,27.1,6.1
108,서울,1990-11,10,14.6,5.8,21.9,-4.9
108,서울,1990-12,.8,4.8,-3,13.8,-12.9
108,서울,1991-01,-2.6,1.6,-6.3,9.7,-12.9
108,서울,1991-02,-.9,3.1,-4.6,12,-15
108,서울,1991-03,4.9,9.6,.7,18.9,-6
108,서울,1991-04,13,19.1,7.6,25.6,-3.4
108,서울,1991-05,17.5,22.8,12.7,31.1,7.4
108,서울,1991-06,22.6,27.6,18.3,31.8,15.2
108,서울,1991-07,24.3,27.8,21.4,32,18
108,서울,1991-08,25.5,30,21.6,34.7,15.7
108,서울,1991-09,21.1,25.5,17.3,31,10.1
108,서울,1991-10,13.8,19.5,8.8,25.8,4.1
108,서울,1991-11,6.5,10.9,2.1,17.6,-4
108,서울,1991-12,2.2,5.9,-1.5,12.9,-11.1
108,서울,1992-01,-.2,3.4,-3.4,7.6,-9.1
108,서울,1992-02,.7,5,-3.3,15.9,-7.8
108,서울,1992-03,7.6,12.2,3.5,20.2,-1.5
108,서울,1992-04,12,17.5,7.1,24.3,1.5
108,서울,1992-05,16.4,21.9,11.7,29.9,7.1
108,서울,1992-06,20.9,26,16.4,29.8,10.8
108,서울,1992-07,24.8,28.4,22,32.4,19.1
108,서울,1992-08,24.8,28.9,21.4,32.8,18.4
108,서울,1992-09,20.9,25.1,16.9,30.9,9.3
108,서울,1992-10,14,18.9,9.7,25.1,4
108,서울,1992-11,6.2,10.8,2.1,17.2,-9
108,서울,1992-12,1.5,5.1,-2,13.3,-9.7
108,서울,1993-01,-1.9,1.9,-5.5,8.4,-11.1
108,서울,1993-02,1,5.3,-2.9,14.2,-8.6
108,서울,1993-03,5.8,10.5,1.9,16.6,-6.2
108,서울,1993-04,10.6,15.8,6.3,23.5,-.3
108,서울,1993-05,18.2,23.8,13.3,31.9,9.4
108,서울,1993-06,21.3,25.8,17.8,29.2,13.4
108,서울,1993-07,23.3,27.6,19.8,31.1,16.2
108,서울,1993-08,23.2,27.5,19.8,30.6,16.3
108,서울,1993-09,21.2,26.3,16.9,30.5,10.8
108,서울,1993-10,13.4,19.3,8.3,25,.6
108,서울,1993-11,8.5,12.5,5.2,20.9,-9
108,서울,1993-12,-.2,3.8,-3.8,10,-11.2
108,서울,1994-01,-.9,3.1,-4.7,10,-12.3
108,서울,1994-02,.8,5.8,-3.2,11.4,-10.8
108,서울,1994-03,4,8.9,-.1,18.6,-5.5
108,서울,1994-04,15.2,21.4,10,28.9,5.7
108,서울,1994-05,17.9,23.1,13.4,28,8.3
108,서울,1994-06,22.8,28.2,18.1,34.7,13.4
108,서울,1994-07,28.5,32.6,25.3,38.4,21.3
108,서울,1994-08,27.6,31.9,24.4,37,19
108,서울,1994-09,21,26.1,16.7,32,12.1
108,서울,1994-10,15.2,20.3,11.3,25.9,3.2
108,서울,1994-11,9.3,13.6,5.4,19.8,-2.2
108,서울,1994-12,1.1,4.7,-2.4,12.4,-12.6
108,서울,1995-01,-2.1,1.8,-5.7,10.3,-11.1
108,서울,1995-02,1.2,6,-2.8,9.9,-7.9
108,서울,1995-03,6,10.3,2.2,17.1,-3.6
108,서울,1995-04,11.3,16.7,6.5,25.2,-.4
108,서울,1995-05,17.1,22.1,12.1,29,6.3
108,서울,1995-06,21.6,26.3,17.5,29.6,12.1
108,서울,1995-07,24.5,27.8,21.7,33.6,17.7
108,서울,1995-08,26,29.2,23.4,33.7,18.8
108,서울,1995-09,20,24.5,15.7,28.4,10.7
108,서울,1995-10,15.5,20.6,10.7,25.6,4.2
108,서울,1995-11,6.2,11.5,1.8,18.6,-4.3
108,서울,1995-12,-1,3,-4.4,6.9,-10.3
108,서울,1996-01,-2.2,2.3,-5.6,9.8,-10.7
108,서울,1996-02,-1.6,3.2,-5.5,14,-13.8
108,서울,1996-03,4.9,9.5,1,17.5,-3.8
108,서울,1996-04,10.2,15.1,5.9,23.3,-.9
108,서울,1996-05,18.4,24.2,13.3,31.4,9.8
108,서울,1996-06,22.3,26.5,19.1,32.7,15.1
108,서울,1996-07,24.4,28.3,21.2,34.6,16.6
108,서울,1996-08,26,29.8,22.9,35.4,17.6
108,서울,1996-09,22,27.3,17.5,30.9,11.6
108,서울,1996-10,14.5,19.4,10,23.8,-.4
108,서울,1996-11,6.1,10.3,2.4,18.8,-8
108,서울,1996-12,1.6,6,-2.5,12.7,-10.5
108,서울,1997-01,-3.3,1.2,-7.1,8,-13.7
108,서울,1997-02,.7,5.6,-3.5,15.1,-8.1
108,서울,1997-03,6.8,11.8,2.5,20.2,-4.3
108,서울,1997-04,13,18.1,8.4,22.3,2.7
108,서울,1997-05,17,21.5,12.9,27.9,8.8
108,서울,1997-06,23.4,28.5,18.9,35,12.4
108,서울,1997-07,26.1,30.1,22.8,36.1,18.1
108,서울,1997-08,26.8,31.3,23.2,34.1,19.6
108,서울,1997-09,20.2,25.4,15.7,31.9,10.3
108,서울,1997-10,13.4,19,8.2,26.3,-2
108,서울,1997-11,8.8,13.7,4.6,20.2,-3.2
108,서울,1997-12,1.8,5.7,-1.8,12.8,-11.3
108,서울,1998-01,-1.3,2.8,-4.7,8.2,-15.4
108,서울,1998-02,3.4,7.8,-.6,15,-7.7
108,서울,1998-03,7.3,12.5,2.8,19.1,-3.2
108,서울,1998-04,15.6,20.9,11.1,26.3,1.9
108,서울,1998-05,19,24.3,14,31.4,10.4
108,서울,1998-06,21.9,26.4,18,31.8,13.2
108,서울,1998-07,24.9,28.6,21.9,32.2,19.5
108,서울,1998-08,25,28.8,22.1,32,17.4
108,서울,1998-09,23,27.8,19,32.8,15.4
108,서울,1998-10,17,22,12.7,26.5,4.9
108,서울,1998-11,7.3,12.2,3.3,20.5,-6.8
108,서울,1998-12,2.3,6.6,-1.7,12.9,-8.1
108,서울,1999-01,-.8,3.5,-4.7,12.4,-12.2
108,서울,1999-02,.7,5,-3.1,10.2,-12.3
108,서울,1999-03,6.7,11.7,1.6,18.8,-6.2
