지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C)
108,서울,2008-10,16.1,21,12.1,28.3,5.6
108,서울,2008-11,7.6,11.7,3.8,18.4,-7.2
108,서울,2008-12,1.1,5,-2.7,13.3,-13.1
108,서울,2009-01,-2,2.3,-5.5,12.2,-11.4
108,서울,2009-02,2.9,6.8,-.6,16.1,-8.6
108,서울,2009-03,6,10.6,1.8,22.2,-3.3
108,서울,2009-04,12.7,18,8.1,25.8,2.2
108,서울,2009-05,19.1,24.3,14.6,31,9.8
108,서울,2009-06,22.4,26.7,18.8,32.4,14.3
108,서울,2009-07,24.3,28.2,21,32.4,18.7
108,서울,2009-08,25.7,29.5,22.4,34.4,16.4
108,서울,2009-09,21.8,26.3,17.7,29.9,14.4
108,서울,2009-10,16,20.9,11.7,26.4,6.2
108,서울,2009-11,6.9,10.4,3.7,21.8,-4.3
108,서울,2009-12,-1,2.5,-4.2,10.1,-12.9
108,서울,2010-01,-4.5,-.7,-8.1,8.4,-15.3
108,서울,2010-02,1.4,4.9,-1.7,17.9,-10.8
108,서울,2010-03,4.3,8.1,.5,14.2,-4
108,서울,2010-04,9.5,14,5.6,20.7,1.1
108,서울,2010-05,17.2,22,13,28.6,5.8
108,서울,2010-06,23.4,28.2,19.3,32.7,12.1
108,서울,2010-07,25.8,29.3,23.1,32.3,21
108,서울,2010-08,26.5,30,23.8,33.8,19.9
108,서울,2010-09,21.8,26,18.5,31.4,8.4
108,서울,2010-10,14.5,19.3,10.4,24.2,.7
108,서울,2010-11,6.5,11.3,2.5,17.4,-5.2
108,서울,2010-12,-1.3,3.1,-5.1,13.5,-15.1
108,서울,2011-01,-7.2,-3.4,-10.5,.3,-17.8
108,서울,2011-02,1.2,5.9,-2.5,13.2,-9.2
108,서울,2011-03,3.6,8.3,-.1,16.8,-5.5
108,서울,2011-04,10.7,15.6,6.8,19,4.3
108,서울,2011-05,17.9,23,13.6,31.2,8.5
108,서울,2011-06,22,26.6,18.4,32.9,14.4
108,서울,2011-07,24.6,28,22,34.1,18.9
108,서울,2011-08,25.8,29.5,23,34.1,18.1
108,서울,2011-09,21.8,26.6,17.7,32.4,10.3
108,서울,2011-10,14.2,19.3,9.7,23.4,3.1
108,서울,2011-11,10.7,14.7,7.2,25.9,-5.5
108,서울,2011-12,-.9,2.9,-4.1,9.1,-10.6
108,서울,2012-01,-2.8,1.3,-6.3,8.4,-12.2
108,서울,2012-02,-2,3,-6,12.1,-17.1
108,서울,2012-03,5.1,9.5,1.5,16.2,-5.7
108,서울,2012-04,12.3,17.9,7.8,29.4,.6
108,서울,2012-05,19.7,25.1,15.4,29.3,12
108,서울,2012-06,24.1,29.7,20,33.5,16.3
108,서울,2012-07,25.4,29,22.4,33.2,18.5
108,서울,2012-08,27.1,30.9,23.9,36.7,18.7
108,서울,2012-09,21,25,17.4,29.5,12
108,서울,2012-10,15.3,20.5,11,26,2.8
108,서울,2012-11,5.5,9.5,1.8,15.7,-3
108,서울,2012-12,-4.1,-.5,-7.4,8.3,-14.5
108,서울,2013-01,-3.4,.3,-6.6,11.5,-16.4
108,서울,2013-02,-1.2,2.8,-4.9,13.9,-15.8
108,서울,2013-03,5.1,10.8,.7,23.8,-4.4
108,서울,2013-04,10,15,5.7,21.6,1.3
108,서울,2013-05,18.2,23.6,13.7,31.8,7.9
108,서울,2013-06,24.4,29.2,20.5,32.6,16.3
108,서울,2013-07,25.5,28.3,23.4,31.3,20.5
108,서울,2013-08,27.7,31.1,24.8,33.9,21.1
108,서울,2013-09,21.8,25.9,18,31.1,10.9
108,서울,2013-10,15.8,21.2,10.9,28.1,4.3
108,서울,2013-11,6.2,10.7,2.1,20.7,-6.4
108,서울,2013-12,-.2,3.5,-3.5,11,-9.8
108,서울,2014-01,-.7,3.5,-4.9,8.2,-10.5
108,서울,2014-02,1.9,6.6,-1.8,16.4,-10.5
108,서울,2014-03,7.9,13.1,3.5,23.8,-4.6
108,서울,2014-04,14,19.6,9.4,26.2,2.3
108,서울,2014-05,18.9,25.3,13.8,33.3,6.8
108,서울,2014-06,23.1,27.8,19.7,31.1,17.3
108,서울,2014-07,26.1,30.6,22.9,34.4,19.1
108,서울,2014-08,25.2,29,22.1,35.8,18.3
108,서울,2014-09,22.1,27,18,31.3,14.9
108,서울,2014-10,15.6,21.4,10.7,29,2.7
108,서울,2014-11,9,13.8,4.9,22.9,-3.1
108,서울,2014-12,-2.9,1.5,-6.7,7.9,-13.2
108,서울,2015-01,-.9,3.6,-4.8,9,-9.8
108,서울,2015-02,1,6,-2.9,13,-13
108,서울,2015-03,6.3,12.4,1,21.9,-6.9
108,서울,2015-04,13.3,18.8,8.4,28.3,3.5
108,서울,2015-05,18.9,24.9,13.6,32.2,8.3
108,서울,2015-06,23.6,29.5,18.9,34.9,15.6
108,서울,2015-07,25.8,30,22.6,36,18.2
108,서울,2015-08,26.3,30.8,22.8,34.4,18.9
108,서울,2015-09,22.4,28.1,17.5,31,14.2
108,서울,2015-10,15.5,21.2,10.8,26.6,1.1
108,서울,2015-11,8.9,12.7,5.9,21,-7.3
108,서울,2015-12,1.6,6,-2.1,12.2,-9.5
108,서울,2016-01,-3.2,1.1,-6.8,9.5,-18
108,서울,2016-02,.2,5.1,-4.1,14.4,-10
108,서울,2016-03,7,12.6,2.4,21.4,-7.5
108,서울,2016-04,14.1,20.3,9.1,29.6,5.1
108,서울,2016-05,19.6,25.7,14.1,31.9,8.9
108,서울,2016-06,23.6,28.7,19.5,32.2,17.1
108,서울,2016-07,26.2,29.8,23.3,34.1,19.8
108,서울,2016-08,28,32.6,24.5,36.6,16.1
108,서울,2016-09,23.1,27.9,19.3,31.1,14.3
108,서울,2016-10,16.1,21.3,11.6,29,.7
108,서울,2016-11,6.8,11.6,2.8,18.6,-6.2
108,서울,2016-12,1.2,5.8,-2.7,13.6,-9.8
108,서울,2017-01,-1.8,2.9,-5.8,11.4,-12.6
108,서울,2017-02,-.2,4.8,-4.7,12.3,-9.3
108,서울,2017-03,6.3,12.3,1.7,18.9,-5.3
108,서울,2017-04,13.9,20,9.1,27.8,3.1
108,서울,2017-05,19.5,25.4,14.4,30.3,10
108,서울,2017-06,23.3,28.8,18.7,34.1,14.5
108,서울,2017-07,26.9,30.4,24.3,35.4,21.9
108,서울,2017-08,25.9,29.7,22.9,35.3,16.1
108,서울,2017-09,22.1,27.4,17.5,31.4,11.2
108,서울,2017-10,16.4,22.5,11.6,29.4,2.5
108,서울,2017-11,5.6,10.5,1.3,18.4,-6.6
108,서울,2017-12,-1.9,2.2,-5.7,8.7,-12.3
108,서울,2018-01,-4,.1,-7.3,8.7,-17.8
108,서울,2018-02,-1.6,3.3,-5.9,10.4,-13.4
108,서울,2018-03,8.1,13.6,3.8,22.1,-6.7
108,서울,2018-04,13,18.5,8.1,26.3,.1
108,서울,2018-05,18.2,23.3,13.4,29.6,6.9
108,서울,2018-06,23.1,28.4,18.9,32.9,16.3
108,서울,2018-07,27.8,32.1,24.2,38.3,17.7
108,서울,2018-08,28.8,33.3,25.2,39.6,20.2
108,서울,2018-09,21.5,26,17.6,30.9,10.8
108,서울,2018-10,13.1,18.6,8.5,25.6,.7
108,서울,2018-11,7.8,13.2,3.6,19.4,-3.1
108,서울,2018-12,-.6,4.1,-4.7,13.5,-14.4
108,서울,2019-01,-.9,4.1,-5.1,8.5,-10.1
108,서울,2019-02,1,6,-3.2,14.5,-10.2
108,서울,2019-03,7.1,12.4,2.7,17.6,-1.7
108,서울,2019-04,12.1,17.6,7.2,28.2,.3
108,서울,2019-05,19.4,25.6,13.7,33.4,8.4
108,서울,2019-06,22.5,27.7,18.1,32.8,14.1
108,서울,2019-07,25.9,30.1,22.7,36.1,19.3
108,서울,2019-08,27.2,31.6,23.6,36.8,18.5
108,서울,2019-09,22.6,27.1,19,30.5,13.6
108,서울,2019-10,16.4,21.8,11.8,28.2,4.7
108,서울,2019-11,7.6,12.9,3.1,22.1,-4.6
108,서울,2019-12,1.4,5.3,-2.6,12.9,-10.9
108,서울,2020-01,1.6,5.9,-1.7,11.9,-6.5
108,서울,2020-02,2.5,7.2,-1.3,15.6,-11.8
108,서울,2020-03,7.7,13.3,2.6,20.6,-2.8
108,서울,2020-04,11.1,16.6,6.3,23.8,1.9
108,서울,2020-05,18,23.3,13.7,30,9.2
108,서울,2020-06,23.9,29,19.9,35.4,14.8
108,서울,2020-07,24.1,28,21.1,32.9,17.2
108,서울,2020-08,26.5,29.3,24.4,34.5,21.5
108,서울,2020-09,21.4,25.6,18,29.5,13.6
108,서울,2020-10,14.3,19.5,9.6,23.6,3.2
108,서울,2020-11,8,12.6,4,20,-3.6
108,서울,2020-12,-.3,3.9,-4.2,11.4,-12.9
108,서울,2021-01,-2.4,2.2,-6.8,13.9,-18.6
108,서울,2021-02,2.7,7.9,-2.2,17.4,-10.6
108,서울,2021-03,9,14.8,4.3,22.9,-1.2
108,서울,2021-04,14.2,19.5,9.5,28.2,3.1
108,서울,2021-05,17.1,21.9,12.8,30.8,7.3
108,서울,2021-06,22.8,27.6,18.9,31.6,13.3
108,서울,2021-07,28.1,32.2,24.6,36.5,19.6
108,서울,2021-08,25.9,29.7,22.8,33.7,18.1
108,서울,2021-09,22.6,26.9,18.8,30.3,16
108,서울,2021-10,15.6,20.5,11.6,28.8,1.3
108,서울,2021-11,8.2,13.1,4,21.3,-3.7
108,서울,2021-12,.6,5.1,-3.5,13.3,-15.5
108,서울,2022-01,-2.2,2.6,-6.2,8.4,-11.3
108,서울,2022-02,-1.1,3.8,-5.3,11.5,-10.7
108,서울,2022-03,7.7,12.7,3.2,19.5,-3
108,서울,2022-04,14.8,20.6,10,28.7,3.5
108,서울,2022-05,19.1,25,13.9,30.7,7.9
108,서울,2022-06,23.3,27.5,19.8,32.7,14.9
108,서울,2022-07,27.3,31,24.2,36.1,20.8
108,서울,2022-08,25.7,28.9,23.1,32.9,16.1
108,서울,2022-09,22.4,27.2,18.2,32.5,12.3
108,서울,2022-10,14.6,19.7,10.3,27.6,4.4
108,서울,2022-11,10,15.4,5.6,22.1,-8.1
108,서울,2022-12,-2.8,1.7,-6.6,10.2,-13.7
108,서울,2023-01,-1.5,3.2,-5.7,12.5,-17.3
108,서울,2023-02,2.3,7.3,-1.9,12.4,-5.3
108,서울,2023-03,9.8,16.2,4.2,25.1,-1.9
108,서울,2023-04,13.8,19,8.8,28.4,3.1
108,서울,2023-05,19.5,25,14.6,31.2,7.9
108,서울,2023-06,23.4,27.9,19.7,34,16.6
108,서울,2023-07,26.7,30.2,23.9,34.9,21.6
108,서울,2023-08,27.2,30.8,24.3,35.8,20.8
108,서울,2023-09,23.7,27.6,20.2,32.8,15.2
108,서울,2023-10,15.8,21,11.5,24.6,5.4
108,서울,2023-11,6.8,11.5,2.9,25.9,-7.3
108,서울,2023-12,1.1,5.2,-2.5,16.8,-14.7
108,서울,2024-01,-.5,3.6,-3.9,10.6,-14
108,서울,2024-02,3.8,8.2,.2,18.3,-3.1
108,서울,2024-03,7,12,2.4,23.4,-8.1
108,서울,2024-04,16.3,22.4,11.5,29.4,5.5
108,서울,2024-05,18.5,23.7,13.8,28.5,6.9
108,서울,2024-06,24.6,30.1,19.9,35.8,15.7
108,서울,2024-07,26.6,29.6,24.1,33.3,21.3
108,서울,2024-08,29.3,33.3,26.3,36.4,22.6
108,서울,2024-09,25.5,29.8,22,34.6,15.6
108,서울,2024-10,16.7,21.4,12.7,25.7,7.1
108,서울,2024-11,9.7,14.9,5.5,25.1,-3.4
108,서울,2024-12,1,5.5,-2.7,13,-7.7
